is_day_off,day_off_in_row,day_off_in_future,day,month,year
0,0,0,17,12,13
0,0,0,18,12,13
0,0,0,19,12,13
0,0,0,20,12,13
1,1,2,21,12,13
1,2,1,22,12,13
0,0,0,23,12,13
0,0,0,24,12,13
1,1,1,25,12,13
0,0,0,26,12,13
0,0,0,27,12,13
1,1,2,28,12,13
1,2,1,29,12,13
0,0,0,30,12,13
0,0,0,31,12,13
1,1,2,1,1,14
1,2,1,2,1,14
0,0,0,3,1,14
0,0,0,4,1,14
1,1,3,5,1,14
1,2,2,6,1,14
1,3,1,7,1,14
0,0,0,8,1,14
0,0,0,9,1,14
0,0,0,10,1,14
0,0,0,11,1,14
1,1,1,12,1,14
0,0,0,13,1,14
0,0,0,14,1,14
0,0,0,15,1,14
0,0,0,16,1,14
0,0,0,17,1,14
1,1,2,18,1,14
1,2,1,19,1,14
0,0,0,20,1,14
0,0,0,21,1,14
0,0,0,22,1,14
0,0,0,23,1,14
0,0,0,24,1,14
1,1,2,25,1,14
1,2,1,26,1,14
0,0,0,27,1,14
0,0,0,28,1,14
0,0,0,29,1,14
0,0,0,30,1,14
0,0,0,31,1,14
1,1,2,1,2,14
1,2,1,2,2,14
0,0,0,3,2,14
0,0,0,4,2,14
0,0,0,5,2,14
0,0,0,6,2,14
0,0,0,7,2,14
1,1,2,8,2,14
1,2,1,9,2,14
0,0,0,10,2,14
0,0,0,11,2,14
0,0,0,12,2,14
0,0,0,13,2,14
0,0,0,14,2,14
1,1,2,15,2,14
1,2,1,16,2,14
0,0,0,17,2,14
0,0,0,18,2,14
0,0,0,19,2,14
0,0,0,20,2,14
0,0,0,21,2,14
1,1,2,22,2,14
1,2,1,23,2,14
0,0,0,24,2,14
0,0,0,25,2,14
0,0,0,26,2,14
0,0,0,27,2,14
